source_file,page,resposta_social,tipo_acordo,n_medio_utentes,n_medio_funcionarios,n_meses,is_ocr,vendas,servicos_prestados,servicos_prestados_particulares,subsidios_publicos,iss_ip,iss_ip_2,outros_rendimentos,custo_mercadorias,fse,gastos_pessoal,outros_gastos,ebitda,depreciacao,resultado_liquido,ss_funding_authoritative,_comparticipacoes_matched_key,concelho,centro_distrital,ano,activity_group,ss_funding,revenue,total_cost,labour_cost,monthly_revenue,monthly_fee,monthly_social_security_funding,monthly_cost,monthly_ebitda,monthly_labour_cost,monthly_revenue_per_beneficiary,monthly_fee_per_beneficiary,monthly_social_security_funding_per_beneficiary,monthly_cost_per_beneficiary,monthly_ebitda_per_beneficiary,monthly_revenue_per_worker,monthly_cost_per_worker,monthly_labour_cost_per_worker,beneficiary_worker_ratio,ss_funding_cost_coverage_ratio,institution_id,equipment_id
DOC 2.pdf,2,1103 - CRECHE,Típico Tipo de Atividade:,39.0,8.25,12.0,False,0.0,8719.0,8719.0,276569.56,276569.56,0.0,15870.89,-24684.07,-27995.84,-167486.01,-39829.63,41163.9,-3934.24,37229.66,276569.56,CRECHE,GUIMARÃES,,2025,Infância,276569.56,301159.45,259995.55,167486.01,25096.62,726.58,23047.46,21666.3,3430.32,13957.17,643.5,18.63,590.96,555.55,87.96,3042.01,2626.22,1691.78,4.73,41.49,INST_33c54ad8,EQUIP_07aa7e0b
DOC 2.pdf,3,1104 - ESTABELECIMENTO DE EDUCAÇÃO PRÉ-ESCOLAR,Típico Tipo de Atividade:,40.0,6.25,12.0,False,0.0,56181.11,56181.11,139124.15,139124.15,0.0,15759.49,-26089.61,-28910.45,-156609.75,-45126.31,-45671.37,-4034.09,-49705.46,139124.15,ESTABELECIMENTO DE EDUC,GUIMARÃES,,2025,Infância,139124.15,211064.75,256736.12,156609.75,17588.73,4681.76,11593.68,21394.68,-3805.95,13050.81,439.72,117.04,289.84,534.87,-95.15,2814.2,3423.15,2088.13,6.4,21.68,INST_33c54ad8,EQUIP_07aa7e0b
DOC 2.pdf,4,2103 - CENTRO DE DIA,Típico Tipo de Atividade:,20.0,5.5,12.0,False,0.0,51412.11,51412.11,50354.98,50354.98,0.0,9023.98,-16258.46,-22064.55,-90539.9,-20521.97,-38593.81,-2017.04,-40610.85,50354.98,CENTRO DE DIA,GUIMARÃES,,2025,Idosos,50354.98,110791.07,149384.88,90539.9,9232.59,4284.34,4196.25,12448.74,-3216.15,7544.99,461.63,214.22,209.81,622.44,-160.81,1678.65,2263.41,1371.82,3.64,6.74,INST_33c54ad8,EQUIP_07aa7e0b
DOC 3.pdf,2,2101 - SERVIÇO DE APOIO DOMICILIÁRIO,Típico Tipo de Atividade:,14.0,4.0,12.0,False,0.0,28115.5,26902.5,71344.25,66969.25,0.0,1434.99,-21826.29,-12624.79,-63022.35,-433.86,2987.45,-4344.27,-1373.55,66969.25,SERVIÇO DE APOIO DOMICILIÁ,GUARDA,,2025,Idosos,66969.25,100894.74,97907.29,63022.35,8407.9,2342.96,5580.77,8158.94,248.95,5251.86,600.56,160.13,398.63,582.78,17.78,2101.97,2039.74,1312.97,3.5,9.58,INST_ed1ce449,EQUIP_e829f540
DOC 7.pdf,2,1103 - CRECHE,Típico Tipo de Atividade:,48.0,13.0,12.0,False,0.0,325419.4,0.0,0.0,0.0,0.0,19393.34,-58274.74,-29946.59,-173181.76,-53.61,83356.04,-23732.17,59623.87,325419.4,CRECHE,OURÉM,,2025,Infância,325419.4,344812.74,261456.7,173181.76,28734.4,27118.28,27118.28,21788.06,6946.34,14431.81,598.63,0.0,0.0,453.92,144.72,2210.34,1676.0,1110.14,3.69,59.74,INST_9c027b3d,EQUIP_f00ea778
DOC 7.pdf,3,2101 - SERVIÇO DE APOIO DOMICILIÁRIO,Típico Tipo de Atividade:,15.0,5.0,12.0,False,0.0,153521.05,49531.53,0.0,0.0,0.0,5565.77,-41083.13,-16720.22,-96133.46,0.0,5150.01,-5048.47,101.54,103989.52,SERVIÇO DE APOIO DOMICILIÁ,OURÉM,,2025,Idosos,103989.52,159086.82,153936.81,96133.46,13257.23,12793.42,8665.79,12828.07,429.17,8011.12,883.82,275.18,0.0,855.2,28.61,2651.45,2565.61,1602.22,3.0,10.13,INST_9c027b3d,EQUIP_f00ea778
DOC 7.pdf,4,2103 - CENTRO DE DIA,Típico Tipo de Atividade:,6.0,3.0,12.0,False,0.0,24906.29,11667.47,0.0,0.0,0.0,2343.32,-10297.98,-39300.53,-56279.19,0.0,-78628.09,-7308.72,-85936.81,13238.82,CENTRO DE DIA,OURÉM,,2025,Idosos,13238.82,27249.61,105877.7,56279.19,2270.8,2075.52,1103.23,8823.14,-6552.34,4689.93,378.47,162.05,0.0,1470.52,-1092.06,756.93,2941.05,1563.31,2.0,0.75,INST_9c027b3d,EQUIP_f00ea778
DOC 7.pdf,5,2107 - ESTRUTURA RESIDENCIAL PARA PESSOAS IDOSAS,Típico Tipo de Atividade:,45.0,24.0,12.0,False,0.0,721608.32,383477.2,13127.47,0.0,0.0,82493.62,-75912.47,-130844.12,-537257.1,-664.66,72551.06,-101327.81,-82045.16,338131.12,ESTRUTURA RESIDENCIAL PA,OURÉM,,2025,Idosos,338131.12,817229.41,744678.35,537257.1,68102.45,60134.03,28177.59,62056.53,6045.92,44771.42,1513.39,710.14,0.0,1379.03,134.35,2837.6,2585.69,1865.48,1.88,20.43,INST_9c027b3d,EQUIP_f00ea778
OCIP 1_24.pdf,2,1103 - CRECHE,Típico Tipo de Atividade:,66.0,16.0,12.0,False,0.0,17981.14,17981.14,515406.22,515406.22,0.0,14357.43,-36876.69,-80217.61,-358118.77,-3195.53,69336.19,-19108.99,58447.24,,,BRAGA,,2024,Infância,515406.22,547744.79,478408.6,358118.77,45645.4,1498.43,42950.52,39867.38,5778.02,29843.23,691.6,22.7,650.77,604.05,87.55,2852.84,2491.71,1865.2,4.12,71.1,INST_78679529,EQUIP_77918a18
OCIP 1_24.pdf,3,1104 - ESTABELECIMENTO DE EDUCAÇÃO PRÉ-ESCOLAR,Típico Tipo de Atividade:,60.0,7.0,12.0,False,0.0,132858.89,132858.89,139825.51,139825.51,0.0,7331.4,-18830.64,-45311.49,-184886.08,-1631.77,29355.82,-9757.77,23795.52,,,BRAGA,,2024,Infância,139825.51,280015.8,250659.98,184886.08,23334.65,11071.57,11652.13,20888.33,2446.32,15407.17,388.91,184.53,194.2,348.14,40.77,3333.52,2984.05,2201.02,8.57,33.47,INST_78679529,EQUIP_77918a18
