institution_id,ano,resposta_social,activity_group,n_medio_utentes,n_medio_funcionarios,monthly_revenue_per_beneficiary,monthly_fee_per_beneficiary,monthly_social_security_funding_per_beneficiary,monthly_cost_per_beneficiary,monthly_ebitda_per_beneficiary,monthly_revenue_per_worker,monthly_cost_per_worker,monthly_labour_cost_per_worker,beneficiary_worker_ratio,ss_funding_cost_coverage_ratio,concelho
INST_33c54ad8,2025,1103 - CRECHE,Infância,39.0,8.25,643.5,18.63,590.96,555.55,87.96,3042.01,2626.22,1691.78,4.73,41.49,GUIMARÃES
INST_33c54ad8,2025,1104 - ESTABELECIMENTO DE EDUCAÇÃO PRÉ-ESCOLAR,Infância,40.0,6.25,439.72,117.04,289.84,534.87,-95.15,2814.2,3423.15,2088.13,6.4,21.68,GUIMARÃES
INST_33c54ad8,2025,2103 - CENTRO DE DIA,Idosos,20.0,5.5,461.63,214.22,209.81,622.44,-160.81,1678.65,2263.41,1371.82,3.64,6.74,GUIMARÃES
INST_ed1ce449,2025,2101 - SERVIÇO DE APOIO DOMICILIÁRIO,Idosos,14.0,4.0,600.56,160.13,398.63,582.78,17.78,2101.97,2039.74,1312.97,3.5,9.58,GUARDA
INST_9c027b3d,2025,1103 - CRECHE,Infância,48.0,13.0,598.63,0.0,0.0,453.92,144.72,2210.34,1676.0,1110.14,3.69,59.74,OURÉM
INST_9c027b3d,2025,2101 - SERVIÇO DE APOIO DOMICILIÁRIO,Idosos,15.0,5.0,883.82,275.18,0.0,855.2,28.61,2651.45,2565.61,1602.22,3.0,10.13,OURÉM
INST_9c027b3d,2025,2103 - CENTRO DE DIA,Idosos,6.0,3.0,378.47,162.05,0.0,1470.52,-1092.06,756.93,2941.05,1563.31,2.0,0.75,OURÉM
INST_9c027b3d,2025,2107 - ESTRUTURA RESIDENCIAL PARA PESSOAS IDOSAS,Idosos,45.0,24.0,1513.39,710.14,0.0,1379.03,134.35,2837.6,2585.69,1865.48,1.88,20.43,OURÉM
INST_78679529,2024,1103 - CRECHE,Infância,66.0,16.0,691.6,22.7,650.77,604.05,87.55,2852.84,2491.71,1865.2,4.12,71.1,BRAGA
INST_78679529,2024,1104 - ESTABELECIMENTO DE EDUCAÇÃO PRÉ-ESCOLAR,Infância,60.0,7.0,388.91,184.53,194.2,348.14,40.77,3333.52,2984.05,2201.02,8.57,33.47,BRAGA
INST_78679529,2024,2101 - SERVIÇO DE APOIO DOMICILIÁRIO,Idosos,32.0,13.0,599.95,223.03,360.21,570.05,29.91,1476.8,1403.19,1079.74,2.46,20.22,BRAGA
INST_78679529,2024,2103 - CENTRO DE DIA,Idosos,28.0,8.0,464.74,287.72,169.75,325.19,139.55,1626.59,1138.17,933.4,3.5,14.62,BRAGA
