source_file,page,resposta_social,equipamento,tipo_acordo,n_medio_utentes,n_medio_funcionarios,n_meses,is_ocr,vendas,servicos_prestados,servicos_prestados_particulares,subsidios_publicos,iss_ip,iss_ip_2,outros_rendimentos,custo_mercadorias,fse,gastos_pessoal,outros_gastos,ebitda,depreciacao,resultado_liquido,ss_funding_authoritative,_comparticipacoes_matched_key,concelho,centro_distrital,ano,activity_group,institution_id
DOC 2.pdf,2,1103 - CRECHE,1 - SEDE,Típico Tipo de Atividade:,39.0,8.25,12.0,False,0.0,8719.0,8719.0,276569.56,276569.56,0.0,15870.89,-24684.07,-27995.84,-167486.01,-39829.63,41163.9,-3934.24,37229.66,276569.56,CRECHE,GUIMARÃES,,2025,Infância,INST_33c54ad8
DOC 2.pdf,3,1104 - ESTABELECIMENTO DE EDUCAÇÃO PRÉ-ESCOLAR,1 - SEDE,Típico Tipo de Atividade:,40.0,6.25,12.0,False,0.0,56181.11,56181.11,139124.15,139124.15,0.0,15759.49,-26089.61,-28910.45,-156609.75,-45126.31,-45671.37,-4034.09,-49705.46,139124.15,ESTABELECIMENTO DE EDUC,GUIMARÃES,,2025,Infância,INST_33c54ad8
DOC 2.pdf,4,2103 - CENTRO DE DIA,1 - SEDE,Típico Tipo de Atividade:,20.0,5.5,12.0,False,0.0,51412.11,51412.11,50354.98,50354.98,0.0,9023.98,-16258.46,-22064.55,-90539.9,-20521.97,-38593.81,-2017.04,-40610.85,50354.98,CENTRO DE DIA,GUIMARÃES,,2025,Idosos,INST_33c54ad8
DOC 3.pdf,2,2101 - SERVIÇO DE APOIO DOMICILIÁRIO,1 - SEDE,Típico Tipo de Atividade:,14.0,4.0,12.0,False,0.0,28115.5,26902.5,71344.25,66969.25,0.0,1434.99,-21826.29,-12624.79,-63022.35,-433.86,2987.45,-4344.27,-1373.55,66969.25,SERVIÇO DE APOIO DOMICILIÁ,GUARDA,,2025,Idosos,INST_ed1ce449
DOC 7.pdf,2,1103 - CRECHE,1 - SEDE,Típico Tipo de Atividade:,48.0,13.0,12.0,False,0.0,325419.4,0.0,0.0,0.0,0.0,19393.34,-58274.74,-29946.59,-173181.76,-53.61,83356.04,-23732.17,59623.87,325419.4,CRECHE,OURÉM,,2025,Infância,INST_9c027b3d
DOC 7.pdf,3,2101 - SERVIÇO DE APOIO DOMICILIÁRIO,1 - SEDE,Típico Tipo de Atividade:,15.0,5.0,12.0,False,0.0,153521.05,49531.53,0.0,0.0,0.0,5565.77,-41083.13,-16720.22,-96133.46,0.0,5150.01,-5048.47,101.54,103989.52,SERVIÇO DE APOIO DOMICILIÁ,OURÉM,,2025,Idosos,INST_9c027b3d
DOC 7.pdf,4,2103 - CENTRO DE DIA,1 - SEDE,Típico Tipo de Atividade:,6.0,3.0,12.0,False,0.0,24906.29,11667.47,0.0,0.0,0.0,2343.32,-10297.98,-39300.53,-56279.19,0.0,-78628.09,-7308.72,-85936.81,13238.82,CENTRO DE DIA,OURÉM,,2025,Idosos,INST_9c027b3d
DOC 7.pdf,5,2107 - ESTRUTURA RESIDENCIAL PARA PESSOAS IDOSAS,1 - SEDE,Típico Tipo de Atividade:,45.0,24.0,12.0,False,0.0,721608.32,383477.2,13127.47,0.0,0.0,82493.62,-75912.47,-130844.12,-537257.1,-664.66,72551.06,-101327.81,-82045.16,338131.12,ESTRUTURA RESIDENCIAL PA,OURÉM,,2025,Idosos,INST_9c027b3d
OCIP 1_24.pdf,2,1103 - CRECHE,1 - SEDE,Típico Tipo de Atividade:,66.0,16.0,12.0,False,0.0,17981.14,17981.14,515406.22,515406.22,0.0,14357.43,-36876.69,-80217.61,-358118.77,-3195.53,69336.19,-19108.99,58447.24,,,BRAGA,,2024,Infância,INST_78679529
OCIP 1_24.pdf,3,1104 - ESTABELECIMENTO DE EDUCAÇÃO PRÉ-ESCOLAR,1 - SEDE,Típico Tipo de Atividade:,60.0,7.0,12.0,False,0.0,132858.89,132858.89,139825.51,139825.51,0.0,7331.4,-18830.64,-45311.49,-184886.08,-1631.77,29355.82,-9757.77,23795.52,,,BRAGA,,2024,Infância,INST_78679529
OCIP 1_24.pdf,4,2101 - SERVIÇO DE APOIO DOMICILIÁRIO,1 - SEDE,Típico Tipo de Atividade:,32.0,13.0,12.0,False,0.0,85644.07,85644.07,138322.45,138322.45,0.0,6414.89,-16476.81,-32552.96,-168439.78,-1427.75,11484.11,-8538.03,6618.86,,,BRAGA,,2024,Idosos,INST_78679529
OCIP 1_24.pdf,5,2103 - CENTRO DE DIA,1 - SEDE,Típico Tipo de Atividade:,28.0,8.0,12.0,False,0.0,96674.07,96674.07,57034.59,57034.59,0.0,2443.79,-6276.88,-12837.94,-89605.95,-543.96,46887.72,-3252.59,45034.29,,,BRAGA,,2024,Idosos,INST_78679529
OCIP 2_24.pdf,2,2101 - SERVIÇO DE APOIO DOMICILIÁRIO,1 - SEDE,Típico Tipo de Atividade:,8.0,4.0,12.0,False,0.0,33778.18,33778.18,32894.09,32894.09,0.0,0.0,-5963.49,-12755.44,-61326.93,0.0,-13373.59,0.0,-13373.59,,,RIO MAIOR,,2024,Idosos,INST_a490aecb
OCIP 2_24.pdf,3,2103 - CENTRO DE DIA,1 - SEDE,Típico Tipo de Atividade:,5.0,2.0,12.0,False,0.0,19610.8,19610.8,9110.47,9110.47,0.0,0.0,-1657.42,-4169.91,-22592.82,-11.12,290.0,0.0,290.0,,,RIO MAIOR,,2024,Idosos,INST_a490aecb
OCIP 2_24.pdf,4,2107 - ESTRUTURA RESIDENCIAL PARA PESSOAS IDOSAS,1 - SEDE,Típico Tipo de Atividade:,67.0,50.0,12.0,False,23633.7,707764.71,662994.21,464054.34,450715.82,0.0,240912.54,-102876.45,-271636.6,-922550.72,-8711.63,130589.89,-46586.35,166614.53,,,RIO MAIOR,,2024,Idosos,INST_a490aecb
OCIP 3_24.pdf,2,2101 - SERVIÇO DE APOIO DOMICILIÁRIO,1 - SEDE,Típico Tipo de Atividade:,20.0,6.0,12.0,False,0.0,199223.24,82026.4,0.0,0.0,0.0,11684.13,-44447.16,-37161.59,-138943.89,0.0,-9645.27,-14168.49,-23813.76,,,TONDELA,,2024,Idosos,INST_fe5a74f3
